-7.7791950992550367 -7.7791950992550403 -7.7676083718596516 -7.7042254289314318 -7.5431189272983561 -7.2382293445018524 -6.7446763954251772 -6.0119084311139002 -5.1016328908694133 -4.1913573506249246 -3.4585893863136405 -2.9650364372369635 -2.660146854440566 -2.4990403528073992 -2.4356574098792576 -2.4240706824838423 -2.4240706824838485 
-7.7791950992550367 -7.6289156667839499 -7.4899281882247717 -7.3414187849140493 -7.1504198455995818 -6.8754227004844388 -6.4669962117902795 -5.8616289986428152 -5.1016328908694124 -4.3416367830960105 -3.73626956994854 -3.327843081254398 -3.0528459361392897 -2.8618469968248155 -2.7133375935141135 -2.5743501149549353 -2.4240706824838485 
-7.7676083718596765 -7.4899281882247823 -7.2634995497465562 -7.07562405346009 -6.9007335648310821 -6.7005677766057197 -6.4279863730138063 -5.888562368621499 -5.1016328908694115 -4.314703413117333 -3.7752794087249915 -3.5026980051331198 -3.3025322169077778 -3.1276417282787801 -2.9397662319923259 -2.7133375935141055 -2.4356574098792123 
-7.7042254289314958 -7.3414187849140662 -7.0756240534600918 -6.8975885298833939 -6.7853673367782958 -6.698872683628271 * * * * * -3.5043930981105915 -3.4178984449605645 -3.3056772518554802 -3.1276417282787934 -2.8618469968248288 -2.4990403528074054 
-7.543118927298333 -7.1504198455995729 -6.9007335648310733 -6.7853673367782852 -6.7867484047102762 * * * * * * * -3.4165173770285682 -3.4178984449605929 -3.3025322169078182 -3.0528459361393327 -2.6601468544406033 
-7.2382293445018444 -6.8754227004844184 -6.7005677766057019 -6.69887268362824 * * * * * * * * * -3.5043930981106639 -3.5026980051331984 -3.327843081254481 -2.9650364372370532 
-6.7446763954251301 -6.4669962117902351 -6.4279863730137965 * * * * * * * * * * * -3.7752794087251091 -3.7362695699486617 -3.458589386313764 
-6.0119084311138007 -5.8616289986427139 -5.8885623686214057 * * * * * * * * * * * -4.3147034131174848 -4.341636783096174 -4.1913573506250872 
-5.1016328908692472 -5.1016328908692472 -5.1016328908692472 * * * * * * * * * * * -5.1016328908696309 -5.1016328908696309 -5.1016328908696309 
-4.1913573506246937 -4.3416367830957805 -4.3147034131170869 * * * * * * * * * * * -5.8885623686217743 -5.8616289986430878 -6.0119084311141746 
-3.4585893863133643 -3.736269569948262 -3.7752794087246766 * * * * * * * * * * * -6.4279863730141322 -6.4669962117906055 -6.7446763954255031 
-2.9650364372366784 -3.327843081254108 -3.5026980051328249 -3.504393098110318 * * * * * * * * * -6.6988726836286894 -6.7005677766061158 -6.8754227004848172 -7.2382293445022095 
-2.6601468544402715 -3.0528459361389881 -3.3025322169074771 -3.4178984449602661 -3.416517377028248 * * * * * * * -6.7867484047109734 -6.7853673367788208 -6.9007335648315431 -7.1504198456000196 -7.5431189272988002 
-2.4990403528070684 -2.8618469968244957 -3.1276417282784719 -3.3056772518551822 -3.4178984449603043 -3.5043930981104032 * * * * * -6.6988726836288155 -6.7853673367788661 -6.8975885298839161 -7.0756240534605723 -7.3414187849145183 -7.704225428931939 
-2.4356574098788801 -2.713337593513776 -2.939766231992011 -3.1276417282784976 -3.302532216907542 -3.5026980051329462 -3.7752794087248809 -4.3147034131173259 -5.1016328908695625 -5.8885623686218125 -6.4279863730143649 -6.7005677766062419 -6.9007335648315999 -7.0756240534605954 -7.2634995497470332 -7.489928188225222 -7.7676083718600504 
-2.4240706824834857 -2.5743501149545978 -2.7133375935137871 -2.8618469968245313 -3.0528459361390623 -3.3278430812542377 -3.7362695699484552 -4.3416367830960265 -5.101632890869559 -5.8616289986431003 -6.4669962117907041 -6.8754227004849078 -7.1504198456000543 -7.3414187849145547 -7.4899281882252557 -7.6289156667844065 -7.7791950992554932 
-2.4240706824834906 -2.4240706824835105 -2.4356574098788877 -2.4990403528071004 -2.6601468544403382 -2.9650364372368077 -3.4585893863135562 -4.1913573506249335 -5.1016328908695483 -6.0119084311141577 -6.7446763954255626 -7.2382293445023089 -7.5431189272987575 -7.7042254289319754 -7.7676083718601516 -7.7791950992554932 -7.7791950992554932 
