1 1.0644511538673715 1.1327799376415792 1.2049080979375337 1.2806963574441863 1.3599371896225525 1.4423482709523041 1.5275669749200922 1.6151462964420864 1.704552603284258 1.7951655981835959 1.8862808383936662 1.9771150960556647 2.0668147525192575 2.1544673039057649 2.2391159174725894 2.319776824715853 
1.0644944589178593 1.1331764963502713 1.2059864828431248 1.282835972948106 1.3635654105537025 1.4479344155372242 1.5356157942296795 1.626197023433217 1.719234887807382 1.8142170264024411 1.9103701614316586 2.0070243706439936 2.103531271128785 2.1990435533460575 2.2925795005952301 2.383068377160424 2.4693895758360922 
1.1331484530668283 1.2063325284024109 1.283913661602353 1.3657963445116321 1.4518021559927741 1.5416559864440404 1.6349772182809748 1.731242912513743 1.8300478103581412 1.9310903030431095 2.0330799371568533 2.1354658865849898 2.2379607511193487 2.3396677141375193 2.439502177679941 2.5362549250324329 2.6286515203870922 
1.206230249421044 1.2842021259873666 1.3668644081288677 1.4541208348137347 1.5457790605103687 1.6415296929492853 * * * * * 2.2718361390791011 2.3806494856738252 2.488997390945225 2.5956416886566998 2.699190790587533 2.7981849778780052 
1.2840254166877265 1.3670795261207251 1.4551475459946399 1.5481426482964169 1.6458701206895849 * * * * * * * 2.5317568754715487 2.6473043835579073 2.7614071942128127 2.872422565770977 2.9786524039783617 
1.3668379411737959 1.4552667046221519 1.5490703438758522 1.6481825513013952 * * * * * * * * * 2.8147988957246848 2.9372121379992038 3.0565511316585834 3.1707589790772945 
1.4549914146182013 1.5490685168509903 1.6489328123649294 * * * * * * * * * * * 3.1234916949567859 3.2523162433765567 3.3752553637918359 
1.5488302986341285 1.6487814078025222 1.7547472282665488 * * * * * * * * * * * 3.3222357874795154 3.4608917449153007 3.5929406321892099 
1.6487212707001315 1.7549323331854272 1.867101254608605 * * * * * * * * * * * 3.5342022208134471 3.6834459000975688 3.8246653941862272 
1.7550546569602974 1.8683812784551601 1.9885127532121278 * * * * * * * * * * * 3.7645835487223942 3.9218712502449637 4.0713351193261307 
1.8682459574329269 1.9891361800197795 2.1174594649508678 * * * * * * * * * * * 4.0110084650233766 4.1764735312526451 4.3339136749200016 
1.988737469582279 2.1174788978244257 2.2540574334473438 2.3984248601141767 * * * * * * * * * 4.096592386940042 4.2748019178533809 4.4479925618039342 4.6134270923810954 
2.1170000166123364 2.2539741502693258 2.3992326017539547 2.5526650883088076 2.7140009402537224 * * * * * * * 4.1757854110199997 4.3665177784220397 4.5543817245402716 4.7367330062802875 4.9109675764604805 
2.2535347872134244 2.3992059702180484 2.5536553480186246 2.716726462548265 2.888093446055906 3.067217737750207 * * * * * 4.2459350103745397 4.4496187966561616 4.6520773467166929 4.8509361044507298 5.0436659223057108 5.2276977730682521 
2.3988752939669049 2.5537782334920358 2.7180015680882486 2.8913596120191865 3.0734970126218029 3.2638554458041611 3.4616419776044633 3.6655799265030131 3.8748580178046854 4.0889092809545851 4.305074242885583 4.522275558575318 4.7395359782679023 4.9548257833622014 5.1658205626947415 5.3700223961015112 5.5648553123281985 
2.55358945806314 2.7183172915781153 2.8929543526760746 3.0772979075322393 3.27097771969623 3.4734296151953092 3.6838707061147331 3.901277024177856 4.1245838772584991 4.3525725424724744 4.5834448595447954 4.8155727114695894 5.0472406290040812 5.2763347418992153 5.5004860111418274 5.7171651189226811 5.9237576446530928 
2.7182818284590451 2.8934782288399452 3.079215120134116 3.2752797875864355 3.4812936362141902 3.6966925503966586 3.9207090952389794 4.152357549679456 4.3904228279214426 4.6334543671601622 4.8797660246172283 5.1274429263759824 5.374356038380216 5.618184984564353 5.8564493222160419 6.0865481102792263 6.3058071887055274 
