-0.48471035031434939 -0.4847103503143495 -0.47312362291898924 -0.42853066150400398 -0.34258408592359896 -0.22576860319391356 -0.10940956385900491 -0.046555050737175807 -4.9094151784380097e-15 0.046555050737161346 0.1094095638589756 0.22576860319389494 0.34258408592358741 0.42853066150399255 0.47312362291898352 0.4847103503143454 0.48471035031434417 
-0.48471035031434939 -0.33443091784326279 -0.19544343928409125 -0.065724017486569641 0.050114995775124793 0.13703804082351589 0.16827061977589297 0.10372438173391069 -4.8268267689655613e-15 -0.10372438173392518 -0.16827061977592231 -0.13703804082353455 -0.050114995775136673 0.065724017486560538 0.19544343928408481 0.33443091784325751 0.48471035031434406 
-0.47312362291899146 -0.19544343928409291 0.049775180707337108 0.25644065850701314 0.41271545055755077 0.50101277437728065 0.50000000000003075 0.27059805007309856 8.6595605623549316e-17 -0.27059805007310306 -0.5000000000000856 -0.50101277437729541 -0.41271545055755898 -0.2564406585070198 -0.04977518070734277 0.19544343928408769 0.47312362291898591 
-0.42853066150400387 -0.065724017486574082 0.25644065850700887 0.52825180471501365 0.73424862045142703 0.85355339059330448 * * * * * -0.85355339059328172 -0.73424862045142658 -0.52825180471501731 -0.25644065850701314 0.065724017486569752 0.42853066150399965 
-0.342584085923613 0.050114995775112747 0.41271545055753817 0.73424862045141603 0.999999999999999 * * * * * * * -1.0000000000000082 -0.73424862045142036 -0.41271545055754166 -0.050114995775116356 0.34258408592360856 
-0.22576860319392947 0.1370380408234988 0.50101277437725766 0.85355339059327306 * * * * * * * * * -0.85355339059327406 -0.50101277437725933 -0.13703804082350085 0.225768603193928 
-0.1094095638590224 0.16827061977587549 0.50000000000000011 * * * * * * * * * * * -0.50000000000000022 -0.16827061977587687 0.10940956385902101 
-0.046555050737180664 0.10372438173390594 0.27059805007309845 * * * * * * * * * * * -0.27059805007309856 -0.10372438173390781 0.04655505073717877 
-1.4358705481244904e-15 -1.3877787807814457e-15 8.5269234702176479e-17 * * * * * * * * * * * -1.6246625853086747e-16 -2.6922908347160046e-15 -2.6367796834847468e-15 
0.046555050737176362 -0.10372438173391016 -0.2705980500731055 * * * * * * * * * * * 0.27059805007309262 0.10372438173389986 -0.046555050737186632 
0.10940956385901962 -0.16827061977587826 -0.50000000000000466 * * * * * * * * * * * 0.49999999999998179 0.16827061977586424 -0.10940956385903366 
0.22576860319393055 -0.13703804082349824 -0.501012774377257 -0.85355339059326962 * * * * * * * * * 0.85355339059326729 0.50101277437724767 0.13703804082348936 -0.22576860319393943 
0.34258408592361672 -0.050114995775109528 -0.41271545055753478 -0.73424862045141248 -0.99999999999999989 * * * * * * * 1.000000000000006 0.73424862045141293 0.41271545055753156 0.050114995775106141 -0.34258408592361705 
0.4285306615040082 0.0657240174865793 -0.25644065850700265 -0.52825180471500532 -0.7342486204514137 -0.85355339059327406 * * * * * 0.85355339059328239 0.73424862045141837 0.52825180471500677 0.25644065850700204 -0.065724017486580535 -0.42853066150400915 
0.4731236229189989 0.19544343928409991 -0.049775180707329281 -0.25644065850700304 -0.41271545055753545 -0.50101277437725689 -0.49999999999999989 -0.27059805007309862 -8.4995053923043644e-17 0.27059805007309856 0.4999999999999995 0.50101277437726011 0.41271545055753822 0.25644065850700454 0.049775180707329683 -0.19544343928409991 -0.47312362291899829 
0.48471035031435711 0.33443091784327028 0.19544343928409927 0.065724017486578565 -0.05011499577511052 -0.13703804082349755 -0.16827061977587521 -0.10372438173390636 5.8008277890657671e-17 0.10372438173390658 0.16827061977587576 0.13703804082349946 0.050114995775112456 -0.065724017486577191 -0.19544343928409863 -0.33443091784327011 -0.48471035031435694 
0.48471035031435711 0.48471035031435683 0.47312362291899718 0.42853066150400743 0.34258408592361361 0.2257686031939313 0.10940956385902266 0.046555050737180248 1.0610004523370241e-16 -0.046555050737179936 -0.10940956385902213 -0.22576860319392925 -0.34258408592361189 -0.42853066150400598 -0.47312362291899657 -0.48471035031435689 -0.48471035031435705 
