0 -3.0531133177191805e-16 -4.5741188614556449e-14 5.2180482157382357e-15 4.4408920985006262e-16 2.3314683517128287e-15 -2.2204460492503131e-16 5.5511151231257827e-17 -1.0556082279506877e-17 -0 -0 -6.3837823915946501e-16 6.6613381477509392e-16 7.4384942649885488e-15 -3.4083846855992306e-14 -1.8318679906315083e-15 -0 
0 0.10149077948406693 0.19168960505621246 0.25996824034715782 0.29676416704360564 0.29354091944933769 0.24228427448765189 0.13386655809614562 1.1895246692412391e-16 -0.13386655809614523 -0.2422842744876508 -0.29354091944933625 -0.29676416704360598 -0.25996824034716215 -0.19168960505623822 -0.10149077948407553 -9.3730408106525972e-17 
4.4408920985006262e-16 0.19168960505622368 0.36356977998855133 0.49689681272912922 0.57453291324832545 0.58059285970641217 0.50000000000000488 0.27059805007309856 8.6595605623549316e-17 -0.2705980500730984 -0.50000000000000222 -0.58059285970640884 -0.57453291324832501 -0.49689681272913311 -0.36356977998856155 -0.19168960505623006 -8.8817841970012523e-16 
-1.2101430968414206e-14 0.25996824034715638 0.49689681272912933 0.6887721017977616 0.8148330603947973 0.85355339059326008 * * * * * -0.85355339059325119 -0.81483306039479453 -0.68877210179776305 -0.49689681272913422 -0.25996824034716265 4.4168303583673792e-16 
1.3774490470412339e-15 0.29676416704360586 0.57453291324832723 0.81483306039480119 1.000000000000002 * * * * * * * -0.99999999999999845 -0.81483306039480086 -0.57453291324832889 -0.29676416704360792 -6.8003880813393673e-16 
-4.7098587760472547e-16 0.29354091944933736 0.58059285970641472 0.85355339059327373 * * * * * * * * * -0.85355339059327295 -0.58059285970641517 -0.29354091944933824 -3.5607792649701393e-16 
-0 0.24228427448765052 0.49999999999999989 * * * * * * * * * * * -0.49999999999999989 -0.24228427448765072 -1.7319121124709868e-16 
-0 0.13386655809614531 0.27059805007309856 * * * * * * * * * * * -0.27059805007309862 -0.13386655809614498 -9.3730408106525996e-17 
1.9655240049118741e-17 2.5578205101222876e-16 8.6595605623549316e-17 * * * * * * * * * * * 8.8045515687531404e-17 1.4432899320127035e-15 -2.9995195653237152e-32 
-8.92485973184553e-17 -0.13386655809614439 -0.2705980500730984 * * * * * * * * * * * 0.27059805007309889 0.13386655809615067 9.3730408106525935e-17 
9.5194950933858264e-16 -0.24228427448764747 -0.49999999999998912 * * * * * * * * * * * 0.50000000000006384 0.24228427448767031 -5.9496844333668468e-16 
-1.4279204377245103e-15 -0.2935409194493378 -0.5805928597064155 -0.85355339059328428 * * * * * * * * * 0.85355339059326762 0.58059285970643359 0.29354091944934774 -3.2207781226413262e-15 
-1.8596235662471372e-15 -0.29676416704360808 -0.57453291324833033 -0.81483306039480563 -1.0000000000000009 * * * * * * * 0.99999999999999956 0.81483306039480152 0.57453291324833433 0.29676416704361147 6.8328043716273239e-15 
7.2836490978188289e-15 -0.25996824034716126 -0.49689681272913477 -0.68877210179776682 -0.81483306039480263 -0.85355339059327284 * * * * * 0.85355339059326774 0.81483306039479997 0.68877210179776438 0.49689681272913333 0.25996824034715577 -2.7953240912570707e-14 
-9.0895627874351422e-15 -0.19168960505623078 -0.36356977998856005 -0.496896812729135 -0.57453291324832967 -0.58059285970641539 -0.5 -0.27059805007309862 -7.6039523344042402e-17 0.27059805007309856 0.50000000000000466 0.58059285970641494 0.57453291324832834 0.49689681272913339 0.36356977998855816 0.1916896050562274 4.1871752307718424e-15 
-8.2896652505345043e-16 -0.10149077948407313 -0.19168960505622892 -0.25996824034716276 -0.29676416704360808 -0.29354091944933836 -0.24228427448765089 -0.13386655809614537 5.94990648789702e-17 0.1338665580961457 0.24228427448765211 0.29354091944933841 0.29676416704360753 0.25996824034716198 0.19168960505622795 0.10149077948407187 9.373040810652612e-17 
-0 -9.3730408106525972e-17 -1.7319121124709863e-16 -2.2628522245754005e-16 -2.4492935982947064e-16 -2.2628522245754005e-16 -1.7319121124709868e-16 -9.3730408106525996e-17 -2.9995195653237152e-32 9.3730408106525935e-17 1.7319121124709863e-16 2.2628522245754e-16 2.4492935982947064e-16 2.2628522245754005e-16 1.7319121124709871e-16 9.373040810652612e-17 5.9990391306474304e-32 
