0 -0 2.2204460492503131e-16 2.925694557147251e-17 0 2.925694557147251e-17 1.1102230246251565e-16 -1.6653345369377348e-16 -0 
0 0.23288904087346052 0.31156551297989987 0.27115275731682892 6.7335501446091405e-17 -0.27115275731682881 -0.31156551297989982 -0.23288904087346063 -1.7319121124709863e-16 
-0 0.31156551297989982 0.30604124125187998 * * * -0.30604124125187993 -0.31156551297989993 -2.4492935982947064e-16 
0 0.27115275731682886 * * * * * -0.27115275731682892 -1.7319121124709868e-16 
0 6.7335501446091405e-17 * * * * * -6.7335501446091417e-17 -2.9995195653237152e-32 
-1.1702778228589004e-16 -0.27115275731682886 * * * * * 0.27115275731682847 -4.6811112914356016e-16 
-9.9920072216264069e-16 -0.31156551297989998 -0.30604124125187987 * * * 0.30604124125187954 0.31156551297989971 2.9143354396410354e-16 
6.2803698347351007e-16 -0.23288904087346046 -0.31156551297989987 -0.27115275731682886 -6.7335501446091405e-17 0.27115275731682892 0.31156551297989987 0.23288904087346063 1.7319121124709871e-16 
-0 -1.7319121124709863e-16 -2.4492935982947064e-16 -1.7319121124709868e-16 -2.9995195653237152e-32 1.7319121124709863e-16 2.4492935982947064e-16 1.7319121124709871e-16 5.9990391306474304e-32 
