1 1.0317381600503357 1.0644511538674579 1.0981343904105092 1.1327799376420487 1.1683762831683648 1.2049080979376408 1.2423560052134295 1.2806963574440007 1.3199010235739184 1.3599371896224057 1.4007671754841318 1.4423482709521396 1.4846325940673357 1.5275669749200964 1.5710928680396046 1.6151462964420857 1.6596578303299911 1.7045526032842844 1.7497503686020568 1.795165598183553 1.8407076260713198 1.8862808383920093 1.9317849110542944 1.9771150960579322 2.0221625568462267 2.0668147525242482 2.1109558701527575 2.1544673039149944 2.1972281789309127 2.239115917472593 2.2800068438869081 2.319776824715853 
1.0317434074991028 1.0644981089032717 1.0982586573813338 1.1330202383201011 1.168774546308557 1.2055095007514565 1.2432089751742101 1.2818525411561108 1.3214152326144966 1.3618673405818793 1.403174255557917 1.4452963839453552 1.4881891646588237 1.5318031413829987 1.5760837880357281 1.6209712468387898 1.6664001138884741 1.7122986792824659 1.7585880788830723 1.8051853158787168 1.8520045943833701 1.8989556427069889 1.9459433255449354 1.9928674492406684 2.0396224385635278 2.0860974276629727 2.1321766860903599 2.1777402261410614 2.2226644969077904 2.2668231168449 2.3100876197744569 2.352328199942185 2.3934144457697828 
1.0644944589178591 1.0982977956622104 1.1331389576849444 1.1690129631527901 1.2059111625415098 1.2438209221254064 1.2827253200959148 1.3226028620661709 1.363427225141008 1.4051670457543137 1.4477857801059522 1.4912416970843896 1.5354881230168105 1.5804740333711071 1.626143663590373 1.6724359410462077 1.7192847081046554 1.7666167695186521 1.8143462243562978 1.8623860130886074 1.9106518105431862 1.9590542316126209 2.007498963119323 2.0558864593605763 2.1041104673834088 2.1520579528269499 2.1996097211230579 2.2466412935441187 2.2930238627892212 2.3386252571976858 2.3833108781474159 2.4269445921933119 2.4693895758362481 
1.0982851403078628 1.133170175960253 1.1691260742008642 1.2061477466218857 1.244226252871738 1.2833484462372693 1.3234966320312636 1.3646482478971933 1.4067755750559208 1.4498454931326121 1.4938193017024577 1.5386526733919563 1.5842960347741715 1.6306970085227821 1.6777990108429564 1.7255394105048898 1.7738531593168765 1.8226711895845438 1.8718889984240203 1.9214115922922428 1.9711639747532093 2.0210576232392654 2.0709995046999405 2.1208923965759414 2.1706296904450619 2.2200958581449481 2.269167708279944 2.3177157053015289 2.3656052559351064 2.4126979382463767 2.4588526459978715 2.50392662646696 2.5477764154097624 
1.1331484530646938 1.1691492075464192 1.2062549962822087 1.2444607130571024 1.2837572095297221 1.3241308955015849 1.3655633527439202 1.408030973562636 1.4515046292585763 1.4959493716545822 1.5413241539156255 1.5875814507203951 1.6346661450643838 1.6825257301380523 1.7311044903415069 1.7803344808542207 1.8301532731934722 1.8805272859787014 1.9312884512001465 1.9823233758788821 2.0335999813082077 2.0850217030560008 2.1364966256440758 2.1879352528385461 2.239230410596039 2.2902631257485182 2.3409052452309349 2.3910212924085341 2.4404701073968775 2.48910636602049 2.5367819499860311 2.5833471230715848 2.62865152038475 
1.1691184461699435 1.2062698404651777 1.244561646173743 1.2839888636384347 1.3245422560576183 1.3662078951725865 1.4089667217078059 1.4527941396025694 1.4976596412733283 1.5435264725542557 1.590351375831091 1.638084513232398 1.6866548142268589 1.7360152765586443 * * * * * 2.0451766405179739 2.0980215334913255 2.1510052732003291 2.2040394548966509 2.2570626191189085 2.3099614116139606 2.3626111099744311 2.4148771086218668 2.466616764442696 2.5176812946489089 2.5679176106697659 2.6171699562754931 2.6652812113462572 2.7120938767696225 
1.2062302494201775 1.2445680134261905 1.2840828407162115 1.3247700022590898 1.3666203380098956 1.409619731549469 1.4537486005291131 1.4989814519746243 1.5452864585508168 1.5926250514334603 1.6409515870887181 * * * * * * * * * * * 2.2736665001511134 2.3283170129493849 2.3828686365794862 2.4371897394045199 2.4911377947816526 2.5445615233564638 2.5973031628971439 2.6492007464593317 2.7000901438852472 2.7498064738115469 2.7981849778738939 
1.2445201077694414 1.2840806542363987 1.3248562530367178 1.3668426524060522 1.4100309961440607 1.4544071903716669 1.4999512774326391 1.5466369988977935 1.5944313301228275 1.6432939468807741 * * * * * * * * * * * * * 2.4017365228908063 2.4579946858300574 2.5140469901170039 2.5697412348050195 2.6249156761526029 2.6794017868235489 2.7330272207842343 2.7856186477416123 2.8370031777218898 2.8870089038867444 
1.284025416685747 1.3248456891937566 1.3669203803622239 1.4102459640081177 1.4548142132776773 1.5006113745888852 1.5476172456178554 1.5958049663677554 1.6451405545302911 * * * * * * * * * * * * * * * 2.535378012740511 2.5932283636696596 2.6507406283012935 2.7077402950152965 2.7640456146117844 2.8194715854796897 2.8738348570079122 2.9269546345315947 2.9786524039821924 
1.3247847587294928 1.3669020771302811 1.4103145374125501 1.4550196093489955 1.5010102039804689 1.54827351190638 1.5967889789855583 1.6465292971648451 * * * * * * * * * * * * * * * * * 2.6747762963077086 2.7341883252458565 2.7930979674353229 2.8513067909119871 2.9086128107372304 2.9648223746170981 3.019747725810793 3.0732049810374709 
1.3668379411733811 1.410289906291506 1.4550789322761351 1.5012036768608814 1.5486590231024768 1.5974348018531437 1.6475087902116561 * * * * * * * * * * * * * * * * * * * 2.8201355603592204 2.88105353181576 2.9412639406823526 3.0005365270081477 3.0586704172839276 3.1154736032326151 3.1707589790771831 
