0 2.2204460492503131e-16 -0 0 0 0 -0 -4.4408920985006262e-16 -0 
0 0.36471846964935928 0.57522437053169728 0.5 8.6595605623549316e-17 -0.49999999999999989 -0.57522437053169739 -0.3647184696493595 -1.7319121124709863e-16 
-0 0.57522437053169728 1 * * * -1.0000000000000002 -0.5752243705316975 -2.4492935982947064e-16 
0 0.5 * * * * * -0.50000000000000011 -1.7319121124709868e-16 
0 8.6595605623549316e-17 * * * * * -8.6595605623549353e-17 -2.9995195653237152e-32 
0 -0.49999999999999989 * * * * * 0.49999999999999911 1.7319121124709863e-16 
0 -0.57522437053169728 -1 * * * 1 0.57522437053169728 2.4492935982947064e-16 
-0 -0.36471846964935933 -0.57522437053169739 -0.50000000000000011 -8.6595605623549353e-17 0.50000000000000011 0.5752243705316975 0.36471846964935944 1.7319121124709871e-16 
0 -1.7319121124709863e-16 -2.4492935982947064e-16 -1.7319121124709868e-16 -2.9995195653237152e-32 1.7319121124709863e-16 2.4492935982947064e-16 1.7319121124709871e-16 5.9990391306474304e-32 
