0 2.7755575615628914e-17 7.7715611723760958e-15 1.5820678100908481e-14 2.7755575615628914e-16 3.219646771412954e-15 -3.6082248300317588e-15 2.4980018054066022e-16 -3.9451897226074469e-17 1.6653345369377348e-16 -4.7739590058881731e-15 -0 3.9412917374193057e-15 1.4543921622589551e-14 7.9380946260698693e-15 -1.1102230246251565e-16 -0 
0 0.072228724342278172 0.13316549477264178 0.1738451867558829 0.189694617481033 0.18119858636797281 0.15027214746145723 0.085477241503913448 -2.0977900615926587e-16 -0.085477241503914073 -0.15027214746145912 -0.18119858636797048 -0.18969461748102712 -0.17384518675587024 -0.1331654947726334 -0.072228724342276673 -9.3730408106525972e-17 
-0 0.133165494772639 0.2448584475872787 0.31799825821016225 0.34472010167067491 0.33030520396971907 0.29268314156882669 0.16905291073036466 -1.7594212339398667e-16 -0.16905291073036527 -0.29268314156882758 -0.33030520396971697 -0.34472010167067058 -0.31799825821015626 -0.24485844758727504 -0.13316549477264117 -1.5543122344752192e-14 
8.2156503822261584e-15 0.17384518675587959 0.3179982582101612 0.40782508129209194 0.43183757390242772 0.40187477073668121 * * * * * -0.40187477073667854 -0.4318375739024245 -0.4078250812920885 -0.3179982582101587 -0.17384518675587782 -1.3373946567755078e-15 
-9.0860944411200796e-16 0.18969461748103122 0.3447201016706738 0.43183757390242716 0.43045650597042245 * * * * * * * -0.43045650597042012 -0.43183757390242528 -0.34472010167067263 -0.18969461748103122 -1.6774961337882744e-15 
-3.8826444898606792e-16 0.18119858636797129 0.33030520396971813 0.40187477073668026 * * * * * * * * * -0.40187477073667954 -0.3303052039697178 -0.18119858636797156 -5.6426664741449892e-16 
6.8907890888343863e-17 0.15027214746145737 0.29268314156882652 * * * * * * * * * * * -0.29268314156882674 -0.15027214746145784 -2.3372871499209353e-16 
-0 0.085477241503911991 0.16905291073036338 * * * * * * * * * * * -0.16905291073036438 -0.085477241503913198 -2.5116425139501201e-16 
-7.7946830973961058e-17 -4.6706682939606443e-15 -4.6151571427293865e-15 * * * * * * * * * * * 1.5482309273255688e-15 1.5820678100908481e-15 3.2574641543008635e-16 
6.324274176624488e-17 -0.085477241503925994 -0.16905291073037904 * * * * * * * * * * * 0.16905291073036907 0.085477241503917667 -9.0464519035633451e-17 
-7.5056955692073046e-14 -0.15027214746148848 -0.29268314156885261 * * * * * * * * * * * 0.29268314156883291 0.15027214746146819 3.3188996473284641e-14 
1.4043333874306805e-15 -0.18119858636798072 -0.33030520396973007 -0.40187477073668887 * * * * * * * * * 0.40187477073667388 0.33030520396971569 0.1811985863679694 -7.0216669371534024e-16 
3.4389158187764218e-14 -0.18969461748102703 -0.34472010167067735 -0.43183757390243194 -0.43045650597042778 * * * * * * * 0.43045650597041701 0.43183757390242061 0.3447201016706658 0.18969461748101563 -4.4589332226507843e-14 
-2.9001983580142439e-14 -0.17384518675588331 -0.31799825821016292 -0.40782508129209361 -0.43183757390242955 -0.40187477073668204 * * * * * 0.40187477073667682 0.43183757390242244 0.40782508129208556 0.31799825821015382 0.17384518675587066 5.1209037010835343e-16 
1.319798602059797e-14 -0.13316549477263559 -0.24485844758727682 -0.31799825821016064 -0.34472010167067452 -0.33030520396971919 -0.29268314156882758 -0.16905291073036516 -2.5645076484563034e-16 0.16905291073036408 0.29268314156882497 0.33030520396971574 0.34472010167067019 0.31799825821015598 0.24485844758727252 0.13316549477263387 -2.7376613913398125e-15 
1.4290664322796988e-15 -0.072228724342275882 -0.13316549477263739 -0.17384518675587707 -0.18969461748103122 -0.18119858636797195 -0.15027214746145831 -0.085477241503913934 -2.4243051010394049e-16 0.085477241503913226 0.15027214746145706 0.18119858636797029 0.18969461748102925 0.17384518675587504 0.1331654947726357 0.072228724342275424 9.373040810652612e-17 
-0 -9.3730408106525972e-17 -1.7319121124709863e-16 -2.2628522245754005e-16 -2.4492935982947064e-16 -2.2628522245754005e-16 -1.7319121124709868e-16 -9.3730408106525996e-17 -2.9995195653237152e-32 9.3730408106525935e-17 1.7319121124709863e-16 2.2628522245754e-16 2.4492935982947064e-16 2.2628522245754005e-16 1.7319121124709871e-16 9.373040810652612e-17 5.9990391306474304e-32 
